municipio,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,freq,share_tracado_via_tipo,share_is_night,share_is_weekend,share_is_single_lane
capao do leao,2123,50,502,170,1317,84,672,1688,1026,0.718323586744639,0.440545808966862,0.46588693957115,0.990253411306043
jaguaquara,2718,125,452,185,1855,101,637,1735,1023,0.704789833822092,0.379276637341154,0.486803519061584,0.941348973607038
alto garcas,2002,45,367,105,1456,29,472,1687,1021,0.809010773751224,0.29382957884427,0.444662095984329,0.991185112634672
porangatu,2439,116,661,263,1326,73,924,1623,1017,0.897738446411013,0.368731563421829,0.501474926253687,0.987217305801377
joacaba,2240,46,561,154,1424,55,715,1741,1015,0.412807881773399,0.344827586206897,0.43448275862069,0.975369458128079
anchieta,2014,93,497,186,1169,69,683,1612,1008,0.481150793650794,0.353174603174603,0.456349206349206,0.95734126984127
lavrinhas,1794,20,311,68,1344,51,379,1485,1007,0.550148957298908,0.478649453823237,0.459781529294935,0.0297914597815293
presidente medici,2311,103,639,268,1253,48,907,1678,1005,0.850746268656716,0.385074626865672,0.46865671641791,0.969154228855721
ponta pora,2592,66,616,269,1563,78,885,1508,1004,0.871513944223108,0.343625498007968,0.538844621513944,0.895418326693227
pouso alto,2017,33,580,116,1249,39,696,1557,1004,0.321713147410359,0.327689243027888,0.50398406374502,0.999003984063745
santa isabel do para,2032,53,435,197,1229,118,632,1667,1004,0.76394422310757,0.343625498007968,0.48406374501992,0.0408366533864542
ouro preto do oeste,2404,84,596,258,1391,75,854,1811,1003,0.805583250249252,0.356929212362911,0.487537387836491,0.996011964107677
tiangua,2304,113,560,367,1110,154,927,1583,999,0.51951951951952,0.431431431431431,0.522522522522523,0.974974974974975
porto real,1958,38,256,62,1513,89,318,1779,998,0.874749498997996,0.392785571142285,0.443887775551102,0.137274549098196
santa terezinha de itaipu,2307,45,571,181,1425,85,752,1633,995,0.927638190954774,0.495477386934673,0.493467336683417,0.0201005025125628
marilia,1894,22,487,69,1247,69,556,1563,994,0.780684104627767,0.432595573440644,0.459758551307847,0.862173038229376
montenegro,1868,41,423,146,1212,45,569,1484,989,0.561172901921132,0.385237613751264,0.450960566228514,0.358948432760364
nobres,2024,52,362,89,1488,33,451,1673,987,0.716312056737589,0.319148936170213,0.433637284701114,0.753799392097264
balsas,2211,95,631,255,1094,136,886,1678,980,0.841836734693878,0.428571428571429,0.470408163265306,0.941836734693877
tres cachoeiras,1956,46,423,122,1313,52,545,1544,976,0.717213114754098,0.403688524590164,0.456967213114754,0.435450819672131
cachoeira paulista,1838,21,368,77,1282,90,445,1544,975,0.665641025641026,0.473846153846154,0.48,0.0605128205128205
guapo,1893,50,493,252,1042,56,745,1412,975,0.725128205128205,0.383589743589744,0.485128205128205,0.528205128205128
ijui,2296,36,521,136,1562,41,657,1821,975,0.553846153846154,0.374358974358974,0.49025641025641,0.991794871794872
candoi,2160,103,628,244,1131,54,872,1532,962,0.606029106029106,0.411642411642412,0.467775467775468,0.964656964656965
queimadas,2079,57,513,268,1101,140,781,1702,962,0.872141372141372,0.435550935550936,0.48024948024948,0.996881496881497
capivari de baixo,2016,18,565,146,1234,53,711,1721,961,0.765868886576483,0.383975026014568,0.491155046826223,0.684703433922997
caapora,1680,30,384,132,1069,65,516,1327,956,0.569037656903766,0.337866108786611,0.423640167364017,0.184100418410042
laranjeiras do sul,1981,71,572,166,1108,64,738,1501,952,0.602941176470588,0.418067226890756,0.493697478991597,0.955882352941176
lucas do rio verde,2311,63,442,148,1565,93,590,1696,951,0.909568874868559,0.338590956887487,0.453207150368034,0.919032597266036
pontes e lacerda,2293,78,567,237,1351,59,804,1394,946,0.799154334038055,0.424947145877378,0.489429175475687,0.986257928118393
santo antonio de jesus,2110,56,573,248,1152,81,821,1688,943,0.641569459172853,0.343584305408271,0.497348886532344,0.926829268292683
sao joaquim de bicas,1918,37,411,108,1281,81,519,1647,942,0.792993630573248,0.429936305732484,0.479830148619958,0.064755838641189
campo maior,1725,82,345,239,996,63,584,1450,941,0.810839532412327,0.529224229543039,0.479277364505845,0.975557917109458
sao caitano,2167,87,429,222,1288,140,651,1567,941,0.825717321997875,0.420828905419766,0.46971307120085,0.452709883103082
tangua,1918,67,353,186,1208,104,539,1532,939,0.924387646432375,0.488817891373802,0.503727369542066,0.0447284345047923
terenos,2370,63,544,261,1430,72,805,1413,935,0.700534759358289,0.483422459893048,0.570053475935829,0.962566844919786
arataca,1698,71,408,123,1051,45,531,1152,934,0.157387580299786,0.251605995717345,0.448608137044968,0.998929336188437
picarras,1828,42,366,152,1204,64,518,1587,933,0.786709539121115,0.411575562700965,0.521972132904609,0.106109324758842
capao alto,1822,54,443,151,1136,38,594,1420,931,0.602577873254565,0.398496240601504,0.472610096670247,0.992481203007519
ibipora,2076,19,616,254,1100,87,870,1639,931,0.660580021482277,0.435016111707841,0.482277121374866,0.62406015037594
irani,2053,40,553,178,1248,34,731,1605,930,0.39247311827957,0.337634408602151,0.487096774193548,0.988172043010753
vargem bonita,1856,64,515,188,1059,30,703,1356,929,0.32508073196986,0.343379978471475,0.473627556512379,0.982777179763186
ouro preto,2012,32,361,139,1425,55,500,1677,926,0.659827213822894,0.339092872570194,0.443844492440605,0.861771058315335
guaraniacu,1990,77,524,206,1118,65,730,1479,924,0.636363636363636,0.442640692640693,0.510822510822511,0.985930735930736
gurupi,2039,85,516,190,1190,58,706,1510,923,0.869989165763814,0.416034669555796,0.541711809317443,0.734561213434453
santa ines,1950,109,371,283,1058,129,654,1603,922,0.836225596529284,0.408893709327549,0.497830802603037,0.842733188720174
sao gabriel do oeste,2078,49,489,175,1308,56,664,1519,922,0.863340563991323,0.440347071583514,0.484815618221258,0.887201735357918
sao domingos do prata,1823,81,482,221,986,53,703,1307,915,0.47103825136612,0.382513661202186,0.479781420765027,0.979234972677596
queluz,1629,28,288,62,1200,51,350,1372,911,0.681668496158068,0.529088913282108,0.472008781558727,0.0702524698133919
correia pinto,1786,56,424,187,1050,69,611,1461,905,0.685082872928177,0.479558011049724,0.514917127071823,0.96353591160221
bage,1677,19,337,99,1184,38,436,1140,904,0.563053097345133,0.403761061946903,0.440265486725664,0.997787610619469
ribas do rio pardo,2203,90,567,245,1228,73,812,1371,899,0.888765294771969,0.474972191323693,0.49944382647386,0.995550611790879
coxim,2171,55,545,227,1277,67,772,1387,898,0.841870824053452,0.472160356347439,0.522271714922049,0.984409799554566
guararema,1730,40,268,56,1280,86,324,1520,896,0.876116071428571,0.455357142857143,0.405133928571429,0.110491071428571
itaobim,1823,65,521,236,943,58,757,1382,896,0.608258928571429,0.456473214285714,0.510044642857143,0.969866071428571
lontras,2020,39,551,143,1231,56,694,1699,892,0.665919282511211,0.346412556053812,0.539237668161435,1
bom despacho,2114,73,518,208,1287,28,726,1578,891,0.81705948372615,0.430976430976431,0.490460157126824,0.992143658810325
candeias do jamari,2184,85,571,184,1249,95,755,1339,888,0.884009009009009,0.447072072072072,0.502252252252252,0.774774774774775
corinto,2079,120,599,296,993,71,895,1439,886,0.876975169300226,0.393905191873589,0.49097065462754,0.969525959367946
oliveira fortes,1442,16,427,75,902,22,502,1078,885,0.219209039548023,0.387570621468927,0.493785310734463,0.0508474576271187
estancia velha,1942,16,330,66,1490,40,396,1757,884,0.757918552036199,0.350678733031674,0.48868778280543,0.665158371040724
eusebio,1866,28,365,171,1179,123,536,1634,879,0.926052332195677,0.340159271899886,0.398179749715586,0.13424345847554
russas,1897,94,396,271,1050,86,667,1285,879,0.724687144482366,0.460750853242321,0.443686006825939,0.971558589306029
catu,1964,51,487,178,1140,108,665,1597,878,0.578587699316629,0.33371298405467,0.495444191343964,0.976082004555809
monte castelo,1742,53,403,205,1031,50,608,1403,876,0.678082191780822,0.465753424657534,0.494292237442922,0.987442922374429
curitibanos,1784,62,564,166,946,46,730,1343,860,0.394186046511628,0.391860465116279,0.452325581395349,0.98953488372093
maua da serra,1548,31,428,140,905,44,568,1124,857,0.308051341890315,0.372228704784131,0.485414235705951,0.358226371061844
paudalho,2046,98,426,230,1132,160,656,1630,857,0.763127187864644,0.336056009334889,0.494749124854142,0.759626604434072
pocos de caldas,1758,38,522,177,978,43,699,1320,855,0.497076023391813,0.378947368421053,0.500584795321637,0.952046783625731
nova laranjeiras,1633,86,404,137,950,56,541,1183,854,0.430913348946136,0.343091334894614,0.488290398126464,0.97423887587822
goiatuba,1631,55,393,175,970,38,568,1149,853,0.629542790152403,0.368112543962485,0.466588511137163,0.153575615474795
rio pardo,1844,43,468,155,1133,45,623,1374,852,0.768779342723005,0.419014084507042,0.47887323943662,0.960093896713615
sao lourenco da mata,1865,56,457,157,1072,123,614,1475,846,0.795508274231679,0.371158392434988,0.447990543735225,0.433806146572104
paraiba do sul,1739,35,229,124,1284,67,353,1499,845,0.713609467455621,0.390532544378698,0.50887573964497,0.956213017751479
marques de souza,1900,36,430,121,1275,38,551,1393,844,0.533175355450237,0.389810426540284,0.478672985781991,0.951421800947867
terezopolis de goias,1723,33,372,153,1095,70,525,1365,844,0.822274881516588,0.37914691943128,0.514218009478673,0.0118483412322275
arcoverde,1772,97,311,322,934,108,633,1365,843,0.752075919335706,0.500593119810202,0.487544483985765,0.98220640569395
aracati,1921,56,407,154,1228,76,561,1343,837,0.843488649940263,0.485065710872163,0.493428912783752,0.913978494623656
santo antonio da platina,1910,46,495,128,1160,81,623,1378,837,0.634408602150538,0.415770609318996,0.405017921146953,0.918757467144564
maracaja,1593,26,471,67,985,44,538,1317,832,0.706730769230769,0.399038461538462,0.465144230769231,0.424278846153846
mineiros,1896,81,466,168,1125,56,634,1366,832,0.581730769230769,0.381009615384615,0.495192307692308,0.965144230769231
marialva,1805,46,504,159,1043,53,663,1381,830,0.778313253012048,0.466265060240964,0.473493975903615,0.0253012048192771
mucuri,2146,95,408,218,1353,72,626,1382,830,0.796385542168675,0.409638554216867,0.489156626506024,0.996385542168675
rio casca,1667,34,411,172,991,59,583,1246,830,0.446987951807229,0.367469879518072,0.467469879518072,0.990361445783133
toledo,1857,63,470,149,1106,69,619,1315,829,0.650180940892642,0.460796139927624,0.47285886610374,0.586248492159228
dom eliseu,1924,96,460,270,965,133,730,1308,828,0.81280193236715,0.472222222222222,0.515700483091787,0.984299516908213
sao borja,1836,49,401,99,1249,38,500,1124,828,0.75,0.386473429951691,0.46256038647343,0.995169082125604
caetanopolis,1738,43,452,142,1048,53,594,1302,826,0.727602905569007,0.347457627118644,0.513317191283293,0.364406779661017
acreuna,1808,76,494,154,1010,73,648,1199,822,0.744525547445256,0.371046228710462,0.447688564476886,0.605839416058394
maruim,1925,63,312,103,1351,96,415,1595,821,0.866017052375152,0.336175395858709,0.43727161997564,0.959805115712546
pouso novo,1543,52,370,102,995,24,472,1174,816,0.287990196078431,0.389705882352941,0.447303921568628,0.904411764705882
panambi,1896,57,476,124,1192,47,600,1262,815,0.590184049079755,0.412269938650307,0.507975460122699,0.974233128834356
concordia,1632,42,442,188,937,23,630,1329,814,0.366093366093366,0.331695331695332,0.501228501228501,0.993857493857494
itaporanga dajuda,1828,49,319,103,1256,101,422,1423,809,0.718170580964153,0.313967861557478,0.4610630407911,0.636588380716935
conceicao do jacuipe,1760,64,407,142,1057,90,549,1349,808,0.724009900990099,0.388613861386139,0.469059405940594,0.543316831683168
itapebi,1722,90,405,118,1055,54,523,1023,806,0.187344913151365,0.254342431761787,0.451612903225806,0.985111662531017
pombal,1699,72,541,262,697,127,803,1215,800,0.8,0.47375,0.49625,0.995
capanema,1752,84,428,252,888,100,680,1307,799,0.826032540675845,0.421777221526909,0.48811013767209,0.972465581977472
juscimeira,1796,34,342,133,1255,32,475,1474,799,0.919899874843554,0.355444305381727,0.48936170212766,0.966207759699625
lagoa vermelha,1717,37,447,132,1031,70,579,1297,799,0.460575719649562,0.451814768460576,0.490613266583229,0.987484355444305
milagres,2024,68,442,187,1230,97,629,1308,799,0.787234042553192,0.431789737171464,0.499374217772215,0.97622027534418
horizonte,1818,80,401,276,896,165,677,1431,798,0.862155388471178,0.362155388471178,0.508771929824562,0.0714285714285714
rosario do sul,2303,55,478,182,1561,27,660,1087,798,0.74812030075188,0.452380952380952,0.505012531328321,0.992481203007519
indiara,1592,63,422,205,841,61,627,1185,797,0.855708908406525,0.366373902132999,0.49435382685069,0.691342534504391
belo oriente,1710,49,386,120,1117,38,506,1416,793,0.747793190416141,0.355611601513241,0.484237074401009,0.844892812105927
conceicao da barra,1893,88,546,243,922,94,789,1377,793,0.793190416141236,0.440100882723834,0.522068095838588,0.967213114754098
cornelio procopio,1629,32,505,150,887,55,655,1163,793,0.466582597730139,0.403530895334174,0.491803278688525,0.795712484237074
santana do paraiso,1931,62,549,203,1093,24,752,1471,793,0.662042875157629,0.368221941992434,0.453972257250946,0.993694829760404
alem paraiba,1554,66,412,150,881,45,562,1139,790,0.473417721518987,0.451898734177215,0.472151898734177,0.99746835443038
ceara-mirim,1760,75,399,270,897,119,669,1406,790,0.877215189873418,0.453164556962025,0.522784810126582,0.965822784810127
sao jose da vitoria,1571,65,393,140,924,49,533,987,788,0.210659898477157,0.267766497461929,0.428934010152284,0.99746192893401
abadia de goias,1502,26,391,184,850,51,575,1127,786,0.778625954198473,0.38676844783715,0.510178117048346,0.486005089058524
simao pereira,1268,13,374,68,795,18,442,1015,785,0.380891719745223,0.337579617834395,0.540127388535032,0.0267515923566879
barra do ribeiro,1889,56,336,153,1306,38,489,1397,784,0.808673469387755,0.392857142857143,0.497448979591837,0.984693877551021
guarai,1794,46,441,189,1055,63,630,1320,782,0.868286445012788,0.40153452685422,0.489769820971867,0.746803069053708
jacarezinho,1605,32,414,138,970,51,552,1228,781,0.653008962868118,0.428937259923175,0.486555697823303,0.836107554417414
sao goncalo do abaete,1688,60,515,177,897,39,692,1084,781,0.673495518565941,0.371318822023047,0.487836107554417,0.979513444302177
alto araguaia,1566,36,310,71,1133,16,381,1327,780,0.676923076923077,0.341025641025641,0.448717948717949,0.785897435897436
altos,1657,101,330,260,881,85,590,1361,779,0.771501925545571,0.454428754813864,0.503209242618742,0.985879332477535
atalaia,1759,83,432,282,838,124,714,1243,778,0.591259640102828,0.397172236503856,0.497429305912596,0.984575835475578
agua clara,1838,32,414,139,1224,29,553,1149,777,0.908622908622909,0.406692406692407,0.478764478764479,0.925353925353925
itapemirim,1384,38,310,114,864,58,424,1190,775,0.433548387096774,0.387096774193548,0.424516129032258,0.990967741935484
pocone,1530,71,334,173,922,30,507,1054,775,0.64258064516129,0.303225806451613,0.481290322580645,0.981935483870968
satuba,1893,43,492,247,983,128,739,1345,774,0.543927648578811,0.351421188630491,0.465116279069768,0.98062015503876
inhapim,1670,81,481,241,824,43,722,1253,773,0.486416558861578,0.415265200517464,0.540750323415265,0.954721862871927
cocalzinho de goias,1883,126,593,324,730,110,917,1184,769,0.642392717815345,0.400520156046814,0.563068920676203,0.936280884265279
bocaina do sul,1505,53,472,163,789,28,635,1072,767,0.401564537157758,0.342894393741851,0.514993481095176,0.994784876140808
corupa,1550,35,531,207,733,44,738,1200,764,0.407068062827225,0.407068062827225,0.514397905759162,0.976439790575916
ibirapitanga,1591,119,438,190,761,82,628,1023,763,0.27129750982962,0.296199213630406,0.437745740498034,0.998689384010485
jaguaruna,1495,39,489,88,840,39,577,1206,761,0.754270696452037,0.442838370565046,0.511169513797635,0.392904073587385
rodeio,1672,35,578,172,845,42,750,1333,761,0.490144546649146,0.42838370565046,0.52299605781866,0.997371879106439
sao bento do sul,1473,20,517,143,770,23,660,1152,761,0.299605781865966,0.391590013140605,0.526938239159001,0.969776609724047
santa luzia,1700,106,433,237,821,103,670,1137,758,0.585751978891821,0.412928759894459,0.473614775725594,0.969656992084433
pinhalzinho,1618,53,413,204,902,46,617,1309,752,0.546542553191489,0.418882978723404,0.50531914893617,0.99468085106383
itaitinga,1550,31,341,174,885,119,515,1251,751,0.81358189081225,0.33288948069241,0.460719041278296,0.0439414114513981
trombudo central,1729,48,470,163,1002,46,633,1355,751,0.471371504660453,0.378162450066578,0.487350199733688,0.993342210386152
pombos,1646,73,324,184,951,114,508,1267,750,0.76,0.345333333333333,0.457333333333333,0.292
jaraguari,1896,53,354,147,1306,36,501,1230,749,0.899866488651535,0.41388518024032,0.4913217623498,0.921228304405875
rialma,1849,106,506,270,908,59,776,1214,742,0.733153638814016,0.384097035040431,0.467654986522911,0.964959568733154
planalto,1789,72,418,163,1062,74,581,1261,740,0.772972972972973,0.405405405405405,0.512162162162162,0.97027027027027
cristiano otoni,1488,46,438,121,825,58,559,1061,739,0.445196211096076,0.322056833558863,0.512855209742896,0.617050067658999
itaberaba,1715,58,487,130,982,58,617,1000,728,0.630494505494506,0.409340659340659,0.473901098901099,0.986263736263736
comendador levy gasparian,1258,18,238,41,940,21,279,852,727,0.225584594222834,0.334250343878955,0.492434662998624,0.0852819807427786
matias barbosa,1305,21,377,89,774,44,466,1024,726,0.495867768595041,0.400826446280992,0.49862258953168,0.068870523415978
uniao dos palmares,1612,79,422,409,583,119,831,1145,724,0.708563535911602,0.497237569060774,0.545580110497238,0.998618784530387
mesquita,1717,32,187,49,1346,103,236,1562,720,0.991666666666667,0.3375,0.454166666666667,0.0875
nova granada,1487,42,356,99,940,50,455,1225,720,0.720833333333333,0.413888888888889,0.459722222222222,0.970833333333333
campo alegre de goias,1847,83,418,184,1122,40,602,1001,717,0.786610878661088,0.430962343096234,0.442119944211994,0.902370990237099
uniao da vitoria,1581,42,390,121,971,57,511,1248,715,0.66013986013986,0.402797202797203,0.483916083916084,0.962237762237762
piraquara,1271,30,347,88,754,52,435,1014,713,0.812061711079944,0.493688639551192,0.482468443197756,0.0462833099579243
rafael jambeiro,1663,88,382,112,1019,62,494,1173,711,0.872011251758087,0.393811533052039,0.466947960618847,0.838255977496484
santo amaro da imperatriz,1570,32,444,162,888,44,606,1329,708,0.522598870056497,0.415254237288136,0.546610169491525,0.984463276836158
piripiri,1368,68,352,168,712,68,520,989,706,0.784702549575071,0.533994334277621,0.478753541076487,0.995750708215297
senhor do bonfim,1958,71,462,180,1119,126,642,1172,704,0.842329545454545,0.522727272727273,0.524147727272727,0.982954545454545
araxa,1503,56,354,143,913,37,497,1067,703,0.627311522048364,0.412517780938834,0.458036984352774,0.97724039829303
wanderlandia,1681,75,355,184,1001,66,539,1040,702,0.819088319088319,0.371794871794872,0.478632478632479,0.984330484330484
cachoeiro de itapemirim,1537,38,460,251,686,102,711,1221,698,0.679083094555874,0.448424068767908,0.510028653295129,1
patos,1557,67,444,230,725,91,674,1064,697,0.827833572453372,0.519368723098996,0.505021520803443,0.974175035868006
sousa,1552,102,398,306,626,120,704,1104,696,0.854885057471264,0.520114942528736,0.544540229885057,1
santa tereza do oeste,1694,59,481,168,888,98,649,1200,692,0.745664739884393,0.485549132947977,0.484104046242775,0.911849710982659
terra de areia,1327,31,304,81,850,61,385,1092,692,0.823699421965318,0.432080924855491,0.44364161849711,0.453757225433526
antonina,1283,6,369,75,810,23,444,892,691,0.316931982633864,0.373371924746744,0.470332850940666,0.0824891461649783
corbelia,1611,48,398,124,996,45,522,1186,690,0.646376811594203,0.349275362318841,0.484057971014493,0.972463768115942
cachoeira do sul,1582,90,402,147,919,24,549,1067,689,0.833091436865022,0.428156748911466,0.502177068214804,0.978229317851959
sao marcos,1285,12,335,101,806,31,436,1073,689,0.410740203193033,0.383164005805515,0.470246734397678,0.936139332365747
escada,1368,68,256,117,803,124,373,1130,688,0.815406976744186,0.376453488372093,0.45203488372093,0.373546511627907
jose bonifacio,1410,40,451,86,779,54,537,1105,688,0.831395348837209,0.494186046511628,0.510174418604651,0.890988372093023
piracanjuba,1370,36,371,118,819,26,489,898,688,0.667151162790698,0.377906976744186,0.491279069767442,0.133720930232558
quatro barras,1312,36,352,81,772,71,433,1013,688,0.765988372093023,0.475290697674419,0.48546511627907,0.061046511627907
mascote,1403,72,306,164,802,59,470,916,685,0.397080291970803,0.34014598540146,0.451094890510949,0.998540145985401
miranda,1631,53,460,167,927,24,627,826,685,0.867153284671533,0.483211678832117,0.464233576642336,0.944525547445255
camacan,1360,55,293,115,864,33,408,899,682,0.36217008797654,0.26099706744868,0.467741935483871,1
santo antonio do descoberto,1256,38,314,120,704,80,434,963,681,0.587371512481645,0.37151248164464,0.518355359765051,0.0910425844346549
laranjeiras,1497,36,245,75,1059,82,320,1235,680,0.825,0.307352941176471,0.439705882352941,0.475
sertania,1322,75,296,232,646,73,528,927,679,0.746686303387334,0.468335787923417,0.458026509572901,0.997054491899853
ascurra,1520,24,476,161,804,55,637,1241,678,0.523598820058997,0.37905604719764,0.535398230088496,1
itamonte,1333,21,409,106,738,59,515,1065,677,0.491875923190547,0.379615952732644,0.528803545051699,1
caxambu,1430,17,371,94,906,42,465,1049,675,0.340740740740741,0.397037037037037,0.511111111111111,0.992592592592593
torres,1412,27,272,112,944,57,384,1098,672,0.727678571428571,0.436011904761905,0.489583333333333,0.413690476190476
areia branca,1555,77,412,166,777,123,578,1131,671,0.648286140089419,0.390461997019374,0.518628912071535,0.949329359165425
campinorte,1791,70,383,213,1065,60,596,1143,670,0.904477611940299,0.328358208955224,0.495522388059702,0.991044776119403
mandaguacu,1482,27,443,114,845,52,557,1177,669,0.606875934230194,0.424514200298954,0.485799701046338,0.630792227204783
sao sepe,1273,48,360,120,705,40,480,956,669,0.707025411061285,0.440956651718984,0.47085201793722,0.976083707025411
bom retiro,1489,55,508,188,688,50,696,997,664,0.602409638554217,0.411144578313253,0.480421686746988,0.996987951807229
corumba,1418,42,356,138,842,40,494,811,664,0.760542168674699,0.469879518072289,0.469879518072289,0.953313253012048
nova petropolis,1225,8,248,50,892,27,298,1059,664,0.365963855421687,0.266566265060241,0.522590361445783,0.894578313253012
quitandinha,1409,60,347,177,753,72,524,1102,661,0.668683812405446,0.449319213313162,0.494704992435704,0.954614220877458
buritizeiro,1542,91,582,219,606,44,801,930,660,0.7,0.433333333333333,0.46969696969697,0.998484848484848
caarapo,1499,30,395,115,918,41,510,1006,657,0.828006088280061,0.427701674277017,0.4779299847793,0.931506849315068
ribeira do pombal,1628,71,436,197,831,93,633,960,656,0.928353658536585,0.425304878048781,0.498475609756098,0.995426829268293
pantano grande,1550,19,293,104,1101,33,397,1040,653,0.650842266462481,0.407350689127106,0.444104134762634,0.966309341500766
cangucu,1299,56,315,104,779,45,419,966,652,0.544478527607362,0.424846625766871,0.478527607361963,0.955521472392638
seabra,1722,68,490,146,942,76,636,1006,649,0.694915254237288,0.4884437596302,0.505392912172573,0.993836671802774
bacabal,1428,95,315,220,708,89,535,1095,648,0.862654320987654,0.475308641975309,0.486111111111111,0.95216049382716
arapora,1382,36,337,111,878,20,448,995,646,0.831269349845201,0.445820433436533,0.470588235294118,0.153250773993808
ilhota,1579,42,413,148,911,65,561,1293,645,0.818604651162791,0.334883720930233,0.565891472868217,0.975193798449612
rio negro,1277,30,306,96,785,60,402,1083,645,0.606201550387597,0.448062015503876,0.483720930232558,0.882170542635659
alvorada do norte,1601,81,460,192,826,42,652,1001,642,0.937694704049844,0.383177570093458,0.531152647975078,0.981308411214953
agua boa,1431,43,422,136,802,28,558,895,637,0.794348508634223,0.405023547880691,0.441130298273155,0.971742543171115
itiquira,1455,54,308,156,926,11,464,1016,637,0.901098901098901,0.384615384615385,0.511773940345369,0.822605965463108
itaquirai,1301,31,349,91,787,43,440,947,635,0.793700787401575,0.423622047244094,0.428346456692913,0.971653543307087
comodoro,1463,71,348,127,883,34,475,960,634,0.791798107255521,0.410094637223975,0.433753943217666,0.979495268138801
timon,1770,138,355,215,966,96,570,1195,633,0.873617693522907,0.37914691943128,0.529225908372828,0.872037914691943
tapes,1345,48,243,123,896,35,366,1039,631,0.652931854199683,0.396196513470682,0.465927099841521,0.996830427892234
pacajus,1552,59,289,169,959,76,458,1100,629,0.728139904610493,0.338632750397456,0.45945945945946,0.43879173290938
paranavai,1414,49,428,136,741,60,564,1061,627,0.751196172248804,0.464114832535885,0.476874003189793,0.92822966507177
maravilha,1420,36,357,184,790,53,541,1071,625,0.6688,0.4256,0.5232,0.9888
pocoes,1457,68,346,112,867,64,458,1071,625,0.8336,0.4528,0.5072,0.9968
porto real do colegio,1349,60,292,129,771,97,421,1018,625,0.6416,0.344,0.4496,0.7984
roseira,1216,31,232,55,811,87,287,1045,624,0.924679487179487,0.463141025641026,0.498397435897436,0.0272435897435897
alegrete,1648,35,381,107,1040,85,488,852,618,0.789644012944984,0.466019417475728,0.530744336569579,0.978964401294498
caldas,1147,49,348,149,568,33,497,848,617,0.291734197730956,0.429497568881686,0.502431118314425,0.9967585089141
paraiso do tocantins,1475,58,339,180,858,40,519,1036,616,0.827922077922078,0.366883116883117,0.480519480519481,0.962662337662338
lencois,1377,63,395,107,740,72,502,811,614,0.366449511400651,0.350162866449511,0.469055374592834,0.978827361563518
sao miguel doeste,1348,32,346,124,793,53,470,1101,614,0.604234527687297,0.423452768729642,0.509771986970684,0.872964169381108
colinas do tocantins,1442,91,340,181,766,64,521,993,612,0.869281045751634,0.416666666666667,0.483660130718954,0.870915032679739
marechal candido rondon,1437,29,331,127,896,54,458,1075,612,0.722222222222222,0.387254901960784,0.468954248366013,0.901960784313725
medina,1240,95,385,143,583,34,528,863,612,0.419934640522876,0.433006535947713,0.495098039215686,0.991830065359477
ubaporanga,1306,69,409,180,613,35,589,990,612,0.61437908496732,0.423202614379085,0.537581699346405,0.97875816993464
agronomica,1402,57,382,109,809,45,491,1121,609,0.558292282430213,0.408866995073892,0.548440065681445,1
belo jardim,1625,81,381,210,833,120,591,1166,608,0.833881578947369,0.427631578947368,0.5,0.990131578947368
salinas,1371,106,402,144,680,39,546,957,606,0.566006600660066,0.422442244224422,0.493399339933993,0.998349834983498
santiago,1461,28,287,91,1024,31,378,908,605,0.535537190082645,0.409917355371901,0.509090909090909,0.996694214876033
fronteira,1508,56,471,150,776,55,621,998,604,0.857615894039735,0.447019867549669,0.519867549668874,0.978476821192053
tucano,1622,115,381,173,861,92,554,975,604,0.875827814569536,0.370860927152318,0.528145695364238,0.996688741721854
catanduvas,1234,30,358,96,719,31,454,937,601,0.37603993344426,0.382695507487521,0.5108153078203,0.986688851913478
cajazeiras,1190,68,324,193,519,86,517,875,592,0.822635135135135,0.547297297297297,0.525337837837838,0.998310810810811
barracao,1408,32,343,133,838,62,476,1011,591,0.609137055837564,0.350253807106599,0.467005076142132,0.94585448392555
centralina,1126,37,276,119,681,13,395,795,591,0.825719120135364,0.404399323181049,0.49746192893401,0.0795262267343486
pariquera-acu,1007,23,222,60,659,43,282,814,588,0.792517006802721,0.508503401360544,0.448979591836735,0.0680272108843538
pedro canario,1141,50,330,142,572,47,472,915,587,0.448040885860307,0.407155025553663,0.480408858603066,0.914821124361158
caninde,1376,62,363,204,683,64,567,850,584,0.73458904109589,0.467465753424658,0.522260273972603,0.960616438356164
nova andradina,1220,36,213,99,833,39,312,860,578,0.858131487889273,0.453287197231834,0.449826989619377,0.951557093425606
guaraciaba,1265,42,260,95,829,39,355,1039,575,0.627826086956522,0.328695652173913,0.533913043478261,0.987826086956522
perdizes,1125,32,303,117,647,26,420,811,575,0.613913043478261,0.373913043478261,0.427826086956522,0.986086956521739
jandaia do sul,1346,28,434,150,657,77,584,978,571,0.537653239929948,0.423817863397548,0.48861646234676,0.87215411558669
sao luiz gonzaga,1445,69,445,112,786,33,557,959,569,0.750439367311072,0.369068541300527,0.441124780316344,0.998242530755712
fazenda vilanova,1282,42,283,89,845,23,372,999,568,0.688380281690141,0.341549295774648,0.445422535211268,0.695422535211268
imbituva,1157,64,348,139,554,52,487,858,568,0.644366197183099,0.471830985915493,0.514084507042254,0.973591549295775
santa barbara,1353,88,306,173,694,92,479,959,568,0.915492957746479,0.443661971830986,0.542253521126761,0.98943661971831
