municipio,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,freq,share_tracado_via_tipo,share_is_night,share_is_weekend,share_is_single_lane
mossoro,12435,289,3389,1157,6604,995,4546,10190,5721,0.73588533473169,0.40115364446775,0.460758608634854,0.678552700576822
aparecida de goiania,12846,145,2332,1205,8552,612,3537,11090,5720,0.822902097902098,0.351398601398601,0.448776223776224,0.0472027972027972
itaborai,12546,214,1915,660,9227,530,2575,10865,5694,0.861784334387074,0.385844748858448,0.489813839128908,0.230944854232525
jaboatao dos guararapes,12379,193,1884,707,8812,783,2591,10885,5660,0.785865724381626,0.315547703180212,0.380565371024735,0.22773851590106
maceio,13172,105,2049,1447,8807,763,3496,11404,5597,0.774522065392174,0.383955690548508,0.468286582097552,0.656065749508665
foz do iguacu,12582,142,3169,1001,7707,563,4170,10016,5560,0.630935251798561,0.418884892086331,0.460071942446043,0.183273381294964
uberaba,10208,254,3303,927,5330,393,4230,7691,5438,0.791099668995955,0.425340198602427,0.477197499080544,0.205222508275101
vitoria da conquista,12183,345,3029,651,7627,531,3680,9790,5359,0.833551035640978,0.362007837283075,0.492815823847733,0.801268893450271
sao luis,11417,173,1498,1117,8042,586,2615,9993,5183,0.862820760177504,0.26509743391858,0.418290565309666,0.140459193517268
ponta grossa,11248,294,2590,854,7075,435,3444,8859,5088,0.76061320754717,0.431014150943396,0.466784591194969,0.218160377358491
sao jose do rio preto,11216,134,2574,525,7588,395,3099,9698,5074,0.729996058336618,0.383918013401656,0.425699645250296,0.659046117461569
viana,11033,147,1850,946,7663,427,2796,9676,5067,0.676139727649497,0.303927373199132,0.447207420564437,0.397276494967436
araquari,10900,184,2404,890,7149,273,3294,9163,5041,0.762150366990676,0.387621503669907,0.539575481055346,0.495139853203729
petrolina,11316,240,2326,1020,7032,698,3346,9489,4991,0.736525746343418,0.379883790823482,0.450611099979964,0.779202564616309
angra dos reis,11214,223,2817,944,6946,284,3761,8720,4922,0.558309630231613,0.378098334010565,0.494920763917107,0.91873222267371
caruaru,10801,296,2226,869,6806,604,3095,8528,4804,0.746253122398002,0.329933388842631,0.436303080766028,0.467527060782681
tijucas do sul,8757,96,1751,319,6386,205,2070,6979,4681,0.355479598376415,0.357615894039735,0.509506515701773,0.0903653065584277
sabara,10979,228,2177,1290,7080,203,3467,8925,4656,0.501503436426117,0.324527491408935,0.50622852233677,0.970790378006873
maraba,10980,284,2164,735,7132,665,2899,9119,4649,0.831361583136158,0.315551731555173,0.411486341148634,0.655624865562487
volta redonda,10125,39,1043,328,8400,315,1371,9399,4645,0.7502691065662,0.411625403659849,0.43702906350915,0.606889128094726
manhuacu,9477,234,2775,855,5293,320,3630,7675,4538,0.519171441163508,0.376156897311591,0.505288673424416,0.99559277214632
sao joao de meriti,10521,94,1376,227,8186,637,1603,9583,4527,0.972608791694279,0.42588910978573,0.458802739120831,0.0673735365584272
indaial,10161,119,2753,864,6034,391,3617,8771,4478,0.726440375167486,0.442831621259491,0.512058954890576,0.986601161232693
mairipora,8830,134,1557,326,6429,384,1883,7771,4425,0.548022598870056,0.370169491525424,0.474350282485876,0.0280225988700565
florianopolis,10081,59,1900,418,7302,402,2318,9388,4394,0.849112426035503,0.291306326809285,0.361629494765589,0.0316340464269458
valparaiso de goias,10737,74,2126,582,7430,525,2708,8838,4392,0.96379781420765,0.430100182149362,0.50591985428051,0.0414389799635701
governador valadares,9521,200,2852,987,5266,216,3839,7896,4380,0.648173515981735,0.389269406392694,0.481506849315069,0.841552511415525
atibaia,9264,206,2041,460,6149,408,2501,7724,4363,0.847123538849415,0.43868897547559,0.516158606463443,0.0336924134769654
campo grande,10013,296,2222,1098,5989,407,3320,7054,4231,0.782320964311038,0.410304892460411,0.467029071141574,0.936421649728197
londrina,10487,75,1652,637,7648,475,2289,8820,4071,0.854581183984279,0.397936624907885,0.432326209776468,0.037337263571604
imperatriz,9739,183,2135,1003,5863,555,3138,7977,4008,0.885728542914172,0.352794411177645,0.457335329341317,0.907684630738523
paranagua,7938,142,1767,564,5104,361,2331,6932,3998,0.777388694347174,0.427713856928464,0.43871935967984,0.308404202101051
mage,8149,128,1762,409,5464,386,2171,6747,3970,0.847607052896725,0.353652392947103,0.490428211586902,0.350377833753149
lages,8678,117,1975,500,5823,263,2475,7077,3956,0.536147623862487,0.373356926188069,0.488877654196158,0.974216380182002
taubate,8861,90,1554,278,6272,666,1832,7928,3920,0.971683673469388,0.401785714285714,0.525510204081633,0.0420918367346939
rio do sul,8427,101,1801,429,5837,259,2230,7626,3895,0.667522464698331,0.34788189987163,0.418741976893453,0.962259306803594
vacaria,7912,96,1493,378,5669,276,1871,6537,3858,0.499740798341109,0.378952825298082,0.450233281493002,0.970969414204251
ribeirao das neves,8769,117,2039,821,5489,303,2860,7067,3798,0.845181674565561,0.369141653501843,0.537388098999473,0.0102685624012638
juiz de fora,7193,188,2355,680,3795,175,3035,5288,3764,0.460148777895855,0.414718384697131,0.497343251859724,0.558714133900106
rondonopolis,8057,166,1758,520,5460,153,2278,6491,3725,0.84510067114094,0.355973154362416,0.459597315436242,0.635436241610738
tubarao,7572,77,1937,399,4958,201,2336,6745,3720,0.64005376344086,0.373655913978495,0.451344086021505,0.569086021505376
resende,7272,129,1114,294,5419,316,1408,6490,3689,0.768500948766604,0.4573055028463,0.440769856329629,0.285172133369477
muriae,7770,140,2535,586,4255,254,3121,6180,3665,0.373260572987722,0.354706684856753,0.451841746248295,0.987175989085948
cabo de santo agostinho,7575,189,1424,577,4857,528,2001,6531,3605,0.778363384188627,0.319556171983356,0.436615811373093,0.381414701803051
ji-parana,8212,93,2180,722,5024,193,2902,6912,3585,0.748675034867504,0.328033472803347,0.42370990237099,0.703486750348675
rio grande,7229,142,1452,394,4995,246,1846,5805,3552,0.806869369369369,0.434966216216216,0.443975225225225,0.713400900900901
rio branco,8491,116,2342,819,4865,349,3161,6290,3539,0.7468211359141,0.369878496750495,0.462842610907036,0.504944899689178
guaramirim,7862,59,2081,676,4900,146,2757,6884,3536,0.745475113122172,0.431843891402715,0.459558823529412,0.990950226244344
belo horizonte,7846,62,1050,538,5980,216,1588,7025,3517,0.741256752914416,0.277793574068809,0.407733864088712,0.24680125106625
nossa senhora do socorro,7537,122,1672,446,4903,394,2118,6221,3494,0.817973669147109,0.367200915855753,0.433314253005152,0.221522610188895
teofilo otoni,7378,198,1926,662,4346,246,2588,5951,3482,0.672314761631246,0.357553130384836,0.460367604824813,0.869327972429638
taboao da serra,8248,88,1796,526,5305,532,2322,7026,3470,0.904322766570605,0.46685878962536,0.467435158501441,0.0426512968299712
igarassu,7613,150,1213,519,5287,444,1732,6594,3452,0.887891077636153,0.331691772885284,0.461181923522596,0.232039397450753
rio verde,7394,147,1682,576,4700,288,2258,5494,3416,0.737997658079625,0.353922716627635,0.450234192037471,0.598653395784543
