municipio;pessoas;mortos;feridos_leves;feridos_graves;ignorados;feridos;veiculos;freq;share_tracado_via_tipo_1;share_tracado_via_tipo_2;share_is_night;share_is_weekend;share_is_single_lane;cluster
curitiba;53273;581;47011;2872;2808;13254;46614;23714;0.834781141941469;0.155604284388969;0.375221388209497;0.438306485620309;0.106477186472126;1
sao jose;44027;191;40154;1928;1752;10756;40653;20102;0.784648293702119;0.205551686399363;0.369018008158392;0.414784598547408;0.043378768281763;1
guarulhos;40350;430;35691;1040;3188;9322;36372;18109;0.942238665856756;0.0520183334253686;0.410293224363576;0.42205533160307;0.0552211607487989;1
betim;39527;329;36391;1718;1085;8558;35159;17601;0.784103175955912;0.208624509971024;0.361911255042327;0.489233566274644;0.0488040452247032;1
duque de caxias;37859;407;34454;1273;1723;7661;32465;17531;0.842393474416748;0.153784724202841;0.380811134561634;0.4301523016371;0.195710455764075;1
serra;38865;386;33146;3124;2208;8411;35009;17338;0.632137501441919;0.362729265197831;0.313184911754528;0.412331295420464;0.207059637789826;1
brasilia;36378;621;31197;2646;1912;13235;27033;14992;0.875800426894344;0.105989861259338;0.394143543223052;0.494730522945571;0.125;1
cariacica;28936;182;25043;2257;1452;6317;26351;13508;0.694181225940184;0.299822327509624;0.305596683446846;0.391693811074919;0.143840687000296;1
porto velho;31975;378;27893;2165;1539;9668;24067;13101;0.669109228303183;0.324708037554385;0.371956339210747;0.42935653766888;0.233951606747577;1
palhoca;28018;229;24927;1926;936;8412;24828;13075;0.779273422562142;0.208183556405354;0.403365200764818;0.490554493307839;0.372695984703633;1
recife;29322;237;26400;1109;1572;5264;26406;12691;0.85651248916555;0.130643763296825;0.262784650539753;0.379245134347175;0.0892758647860689;1
feira de santana;27427;466;23241;1946;1774;7021;23591;12533;0.795739248384266;0.198994654113141;0.347402856458948;0.454799329769409;0.620362243676694;1
teresina;25851;377;21786;2336;1351;6419;23581;11967;0.706108464945266;0.287290047630985;0.371270995236902;0.456004011030333;0.535305423247263;1
ananindeua;25905;174;23421;1165;1145;4423;23689;11418;0.95691014188124;0.0421264669819583;0.297425118234367;0.41557190401121;0.0615694517428621;1
sao jose dos pinhais;22301;361;19519;1347;1074;5669;18889;10670;0.860824742268041;0.128959700093721;0.423617619493908;0.481443298969072;0.0663542642924086;1
canoas;23395;104;22232;504;555;3119;21701;10576;0.889750378214826;0.107413010590015;0.322995461422088;0.372825264750378;0.0974848714069591;1
uberlandia;21626;224;18655;1988;759;6627;18459;10556;0.71551724137931;0.267620310723759;0.354395604395604;0.441834028040925;0.321049640015157;1
fortaleza;23216;334;19526;1863;1492;5372;20623;10489;0.811993517017828;0.177519305939556;0.294785012870626;0.392792449232529;0.169701592144151;1
joao pessoa;23328;172;20451;1370;1335;6003;20874;10302;0.790720248495438;0.192098621626869;0.322558726460881;0.41720054358377;0.0248495437779072;1
natal;22306;138;20064;1063;1039;3609;20866;10065;0.726676602086438;0.266269249875807;0.318032786885246;0.411028315946349;0.127372081470442;1
