municipio;pessoas;mortos;feridos_leves;feridos_graves;ignorados;feridos;veiculos;freq;share_tracado_via_tipo_1;share_tracado_via_tipo_2;share_is_night;share_is_weekend;share_is_single_lane;cluster
jangada;2361;94;2028;146;92;549;1859;1130;0.852212389380531;0.139823008849558;0.376991150442478;0.468141592920354;0.965486725663717;5
rio largo;2629;104;1879;438;208;953;1964;1124;0.878113879003559;0.112099644128114;0.427046263345196;0.46797153024911;0.409252669039146;2
santa cecilia;2237;70;1883;220;64;784;1807;1124;0.547153024911032;0.447508896797153;0.420818505338078;0.484875444839858;0.984875444839858;4
glorinha;2012;30;1844;97;41;630;1570;1116;0.986559139784946;0.0116487455197133;0.409498207885305;0.49910394265233;0.0224014336917563;2
aracaju;2594;30;2326;100;138;582;2233;1110;0.87027027027027;0.116216216216216;0.273873873873874;0.381081081081081;0.0477477477477478;2
belford roxo;2536;13;2329;28;166;277;2333;1110;0.981081081081081;0.0162162162162162;0.442342342342342;0.430630630630631;0.0963963963963964;2
rio verde de mato grosso;2593;77;2177;259;80;870;1689;1103;0.724388032638259;0.247506799637353;0.400725294650952;0.492293744333636;0.970988213961922;5
santa maria do para;2648;125;2055;294;174;762;2074;1103;0.843155031731641;0.14596554850408;0.360834088848595;0.504079782411605;0.947416137805984;2
chorozinho;2897;69;2402;285;141;765;2070;1100;0.801818181818182;0.174545454545455;0.346363636363636;0.48;0.93;5
nova uniao;2584;66;2183;283;52;812;2044;1094;0.420475319926874;0.570383912248629;0.30164533820841;0.514625228519196;0.970749542961609;4
bataguassu;2385;82;2032;189;82;759;1708;1092;0.876373626373626;0.101648351648352;0.478021978021978;0.476190476190476;0.858058608058608;5
corrego danta;2134;76;1799;235;24;832;1490;1092;0.248168498168498;0.745421245421245;0.302197802197802;0.454212454212454;0.998168498168498;4
iconha;2375;42;2073;181;79;680;2049;1090;0.580733944954129;0.419266055045872;0.306422018348624;0.447706422018349;0.912844036697248;4
ibia;2293;74;1981;192;46;836;1583;1082;0.594269870609982;0.386321626617375;0.374306839186691;0.44731977818854;0.990757855822551;4
rio brilhante;2582;70;2182;276;54;930;1557;1082;0.767097966728281;0.232902033271719;0.487985212569316;0.492606284658041;0.959334565619224;5
penha;2117;38;1851;168;60;658;1781;1080;0.652777777777778;0.340740740740741;0.424074074074074;0.549074074074074;0.0407407407407407;2
prudentopolis;2403;119;1939;266;79;956;1723;1077;0.727019498607242;0.254410399257196;0.474466109563603;0.495821727019499;0.960074280408542;5
mandaguari;2254;20;1953;163;118;774;1895;1067;0.736644798500469;0.242736644798501;0.423617619493908;0.477975632614808;0.600749765698219;2
sobral;2516;98;1856;391;170;990;1700;1066;0.781425891181989;0.203564727954972;0.421200750469043;0.474671669793621;0.922138836772983;2
