cluster;pessoas_1;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos_1;veiculos_1;freq;share_tracado_via_tipo_1;share_tracado_via_tipo_2_1;share_is_night;share_is_weekend;share_is_single_lane
Cluster 1;538,064;19,672;146,368;53,844;301,516;16,656;200,212;393,566;256,204;0,381440876184263;0,586336899007289;0,393098837721865;0,491551386609858;0,967727543605869
Cluster 2;31479,1052631579;353,157894736842;5968,57894736842;1863,68421052632;21717,6842105263;1574,84210526316;7832,26315789474;27395,5263157895;14134,3157894737;0,792710927044699;0,198499783287846;0,357981026611999;0,438617812056907;0,228015572005454
Cluster 3;547,320822162645;25,2591599642538;135,992850759607;59,5084897229669;303,605898123324;22,9472743521001;195,501340482574;380,582663092046;237,318141197498;0,815770390421022;0,169373682447022;0,459056176121788;0,518612619867738;0,963547530035743
Cluster 4;6;0,316239316239316;1,33333333333333;0,623931623931624;3,53846153846154;0,188034188034188;1,95726495726496;4,25641025641026;2,75213675213675;0,88940319730918;0,106669248763266;0,0553819320913338;0,0741941976984712;0,756565356138006
Cluster 5;1650,4513618677;32,0350194552529;367,501945525292;105,058365758755;1080,34630350195;65,4513618677043;472,560311284047;1325,36186770428;834,171206225681;0,690715859612858;0,294033762011415;0,417086826433074;0,507716491184747;0,157319037134197
Cluster 6;12639,8375;177,85;2458,775;784,275;8672,7375;545,825;3243,05;10787,2375;5862,25;0,73750023535724;0,253412475036787;0,381204972022551;0,459375557658736;0,345250866858699
Cluster 7;4436,96666666667;114,504166666667;1056,51666666667;397,208333333333;2698,12083333333;170,516666666667;1453,725;3430,42083333333;2012,07916666667;0,690016415866078;0,297630862699051;0,387541104280301;0,482616066529385;0,770839449963492
