pessoas;mortos;feridos_leves;feridos_graves;ilesos;feridos;freq;share_tracado_via_tipo_1;share_is_night;share_is_weekend;share_is_single_lane
6395;89;1485;414;4244;1899;2971;0.790642881184786;0.396499495119488;0.50454392460451;0.613934702120498
6420;67;1262;473;4161;1735;2941;0.914994899693982;0.38728323699422;0.47160829649779;0.104386263175791
6557;122;1521;675;3932;2196;2923;0.767362299007869;0.354430379746835;0.468012316113582;0.762230585015395
6070;107;1537;250;3860;1787;2921;0.903115371448134;0.287572749058542;0.463539883601506;0.244094488188976
4564;53;1122;171;3131;1293;2919;0.316546762589928;0.373072970195272;0.47242206235012;0.00411099691675231
6216;109;1737;340;3850;2077;2886;0.624393624393624;0.388426888426888;0.475398475398475;0.793139293139293
5584;181;1454;674;3130;2128;2867;0.622253226369027;0.346006278339728;0.486571328915242;0.981513777467736
5866;96;1702;462;3433;2164;2852;0.676367461430575;0.353786816269285;0.490182328190743;0.128681626928471
6456;97;1200;218;4513;1418;2846;0.969430780042164;0.417779339423753;0.53583977512298;0.0375966268446943
6293;80;1567;286;4128;1853;2844;0.813642756680731;0.405766526019691;0.515822784810127;0.227496483825598
5912;150;1886;611;3044;2497;2836;0.494005641748942;0.401622002820874;0.501410437235543;0.977433004231312
6318;109;1048;616;4188;1664;2824;0.873583569405099;0.306303116147309;0.462818696883853;0.386331444759207
7019;161;2091;560;3837;2651;2805;0.760071301247772;0.381461675579323;0.491622103386809;0.455971479500891
5267;106;1300;310;3293;1610;2800;0.836428571428571;0.529285714285714;0.449642857142857;0.111428571428571
6276;211;1717;576;3576;2293;2789;0.706346360702761;0.406597346719254;0.442811043384726;0.921118680530656
5347;86;1134;275;3722;1409;2786;0.345656855707107;0.376166547020818;0.500717875089734;0.545944005743001
6098;113;1641;545;3628;2186;2782;0.530553558590942;0.383896477354421;0.49568655643422;0.985621854780733
6220;103;1816;597;3526;2413;2774;0.634462869502523;0.385724585436193;0.443403028118241;0.534607065609229
4558;76;1126;294;2901;1420;2770;0.347292418772563;0.345126353790614;0.497111913357401;0.0187725631768953
5924;119;1467;594;3530;2061;2729;0.726273360205203;0.40820813484793;0.510076951264199;0.779406375961891
5587;73;1630;609;3093;2239;2726;0.611518708730741;0.374541452677916;0.450476889214967;0.689655172413793
