municipio;mortos;feridos_leves;feridos_graves;freq;share_tracado_via_tipo_1;share_is_night;share_is_weekend;share_is_single_lane;cluster
anapolis;3.11627949922608;2.77219896840516;5.46778148331382;3.14394706770668;0.1684910223676;-0.0478299928131515;0.0195611478823138;-1.89639517842638;1
sao goncalo;3.590539478907;3.11794593221817;1.97815404269672;3.05224006847335;1.0863345153796;-0.0242952819059594;-0.225410376529795;-2.43596977184224;1
barra mansa;1.85158622007697;2.73791481569093;1.27305808722957;2.98866405059994;-0.390638284675084;0.0153826738880404;-0.212702577349354;-1.94186439830539;2
cajati;1.92184695780748;2.05571828541115;0.910551127074137;2.95265639445924;-1.61088540065868;-0.0288834257890386;-0.194092818736995;-1.13774467070707;2
balneario camboriu;1.6056736380202;2.74750275670423;1.83474469582204;2.90820944391057;0.0576720957963091;-0.040262451259226;0.0919898897120304;-1.87471584175807;1
biguacu;1.41245660926131;2.41337753957402;2.75893826456995;2.80975100915086;-0.13438690152152;0.0746547418309231;0.153589301417301;-2.45748413893411;1
parnamirim;2.23802027759475;2.80909801412302;2.44025082707067;2.80074909511569;-0.258784092084171;-0.495884285876146;-0.242225220495581;-2.32853513251622;1
mossoro;4.38097277837519;2.48833780567801;4.0854747231607;2.78668360443573;0.168678363170173;-0.0431752635587135;-0.115546029402304;-0.445376865090892;1
aparecida de goiania;1.85158622007697;2.74721221303716;4.27668718566027;2.78612098480853;0.529467600582916;-0.29995839461983;-0.178511858907058;-2.43886218624957;1
itaborai;3.0635839459282;2.82217247914116;2.10562901769643;2.77149287450137;0.69068127872036;-0.122183659595694;0.0371353200197419;-1.85869722287384;1
jaboatao dos guararapes;2.69471507284304;2.69259000362805;2.29285788722726;2.75236380717663;0.375907246553007;-0.484982973597222;-0.536950765301455;-1.86882122600473;1
maceio;1.14897884277191;2.73907699035921;5.24071668409558;2.71691877066313;0.328874124115899;-0.13193298906385;-0.0759875359003068;-0.516379341898792;1
foz do iguacu;1.79889066677909;2.74488786370061;3.46403422003711;2.69610184445679;-0.266466073467808;0.0483347623655204;-0.119154368366665;-2.00921974775454;1
uberaba;3.76619132323326;2.09319841846315;3.16924834035027;2.62746224993859;0.39760824779993;0.0816502559700304;-0.0291618592005651;-1.9399154488019;1
vitoria da conquista;5.36462310660227;2.68096825694526;2.06977668097776;2.58301529938992;0.573620267104679;-0.245204692471587;0.0529103481307168;-0.057900874591258;1
sao luis;2.34341138419051;2.35672152449542;3.92613100441106;2.48399424500301;0.694978511310268;-0.745354130062183;-0.338709915971043;-2.14440541012028;1
ponta grossa;4.46879870053832;2.39303948287913;2.87844605363218;2.43054538041917;0.271205164339103;0.110933222232982;-0.0838802971665764;-1.89906416813016;1
sao jose do rio preto;1.65836919131808;2.5374396854128;1.5678439669164;2.42266870563839;0.144260222778879;-0.132127438814896;-0.299776192022692;-0.506968839522828;2
viana;1.88671658894222;2.34887684548453;3.24493660675635;2.41873036824801;-0.0790391022075359;-0.544954878603074;-0.186755709920468;-1.33350559383062;1
araquari;2.53662841294941;2.36049859216732;3.02185540050686;2.40410225794085;0.277578540723125;-0.113013922510344;0.29862609154675;-1.02450235001802;1
petrolina;3.52027874117649;2.30384257708872;3.53972248644318;2.37597127658093;0.171333640252511;-0.152947846980984;-0.16886982991449;-0.127575238026305;1
angra dos reis;3.22167060582184;2.42151276225197;3.23696942081887;2.33715052230424;-0.567586704333522;-0.162162494633043;0.0639715266097631;0.312989215563129;1
caruaru;4.50392906940357;2.20912534162398;2.9381999481633;2.27076140629484;0.211665324182048;-0.410739214995243;-0.244056556847783;-1.11168965467015;1
